Date,Sentiment
2000-10-01,105.8
2000-10-08,105.8
2000-10-15,105.8
2000-10-22,105.8
2000-10-29,105.8
2000-11-05,105.8
2000-11-12,105.8
2000-11-19,105.8
2000-11-26,105.8
2000-12-03,105.8
2000-12-10,105.8
2000-12-17,105.8
2000-12-24,105.8
2000-12-31,105.8
2001-01-07,105.8
2001-01-14,105.8
2001-01-21,105.8
2001-01-28,105.8
2001-02-04,105.8
2001-02-11,105.8
2001-02-18,105.8
2001-02-25,105.8
2001-03-04,105.8
2001-03-11,105.8
2001-03-18,105.8
2001-03-25,105.8
2001-04-01,88.4
2001-04-08,88.4
2001-04-15,88.4
2001-04-22,88.4
2001-04-29,88.4
2001-05-06,88.4
2001-05-13,88.4
2001-05-20,88.4
2001-05-27,88.4
2001-06-03,88.4
2001-06-10,88.4
2001-06-17,88.4
2001-06-24,88.4
2001-07-01,92.4
2001-07-08,92.4
2001-07-15,92.4
2001-07-22,92.4
2001-07-29,92.4
2001-08-05,92.4
2001-08-12,92.4
2001-08-19,92.4
2001-08-26,92.4
2001-09-02,92.4
2001-09-09,92.4
2001-09-16,92.4
2001-09-23,92.4
2001-09-30,92.4
2001-10-07,92.4
2001-10-14,92.4
2001-10-21,92.4
2001-10-28,92.4
2001-11-04,92.4
2001-11-11,92.4
2001-11-18,92.4
2001-11-25,92.4
2001-12-02,92.4
2001-12-09,92.4
2001-12-16,92.4
2001-12-23,92.4
2001-12-30,92.4
2002-01-06,92.4
2002-01-13,92.4
2002-01-20,92.4
2002-01-27,92.4
2002-02-03,92.4
2002-02-10,92.4
2002-02-17,92.4
2002-02-24,92.4
2002-03-03,92.4
2002-03-10,92.4
2002-03-17,92.4
2002-03-24,92.4
2002-03-31,92.4
2002-04-07,92.4
2002-04-14,92.4
2002-04-21,92.4
2002-04-28,92.4
2002-05-05,92.4
2002-05-12,92.4
2002-05-19,92.4
2002-05-26,92.4
2002-06-02,92.4
2002-06-09,92.4
2002-06-16,92.4
2002-06-23,92.4
2002-06-30,92.4
2002-07-07,92.4
2002-07-14,92.4
2002-07-21,92.4
2002-07-28,92.4
2002-08-04,92.4
2002-08-11,92.4
2002-08-18,92.4
2002-08-25,92.4
2002-09-01,86.1
2002-09-08,86.1
2002-09-15,86.1
2002-09-22,86.1
2002-09-29,86.1
2002-10-06,86.1
2002-10-13,86.1
2002-10-20,86.1
2002-10-27,86.1
2002-11-03,86.1
2002-11-10,86.1
2002-11-17,86.1
2002-11-24,86.1
2002-12-01,86.7
2002-12-08,86.7
2002-12-15,86.7
2002-12-22,86.7
2002-12-29,86.7
2003-01-05,86.7
2003-01-12,86.7
2003-01-19,86.7
2003-01-26,86.7
2003-02-02,86.7
2003-02-09,86.7
2003-02-16,86.7
2003-02-23,86.7
2003-03-02,86.7
2003-03-09,86.7
2003-03-16,86.7
2003-03-23,86.7
2003-03-30,86.7
2003-04-06,86.7
2003-04-13,86.7
2003-04-20,86.7
2003-04-27,86.7
2003-05-04,86.7
2003-05-11,86.7
2003-05-18,86.7
2003-05-25,86.7
2003-06-01,89.7
2003-06-08,89.7
2003-06-15,89.7
2003-06-22,89.7
2003-06-29,89.7
2003-07-06,89.7
2003-07-13,89.7
2003-07-20,89.7
2003-07-27,89.7
2003-08-03,89.7
2003-08-10,89.7
2003-08-17,89.7
2003-08-24,89.7
2003-08-31,89.7
2003-09-07,89.7
2003-09-14,89.7
2003-09-21,89.7
2003-09-28,89.7
2003-10-05,89.7
2003-10-12,89.7
2003-10-19,89.7
2003-10-26,89.7
2003-11-02,89.7
2003-11-09,89.7
2003-11-16,89.7
2003-11-23,89.7
2003-11-30,89.7
2003-12-07,89.7
2003-12-14,89.7
2003-12-21,89.7
2003-12-28,89.7
2004-01-04,89.7
2004-01-11,89.7
2004-01-18,89.7
2004-01-25,89.7
2004-02-01,94.4
2004-02-08,94.4
2004-02-15,94.4
2004-02-22,94.4
2004-02-29,94.4
